,long,lat,elev,rt_num,class,intensity,geometry,cluster_label
78760,83178.273,439690.056,4650,1,6,188,POINT (4.342685387563993 51.941022069741),5
78761,83178.33,439690.384,4749,1,6,181,POINT (4.342686147838378 51.94102502484445),5
78762,83178.393,439690.747,4864,1,6,188,POINT (4.342686988042756 51.94102829526838),5
78763,83178.455,439691.096,4962,1,6,206,POINT (4.342687816632535 51.94103143974496),5
78764,83178.514,439691.43,5056,1,6,191,POINT (4.342688604734944 51.94103444902877),5
78808,83177.97,439686.906,3853,1,6,37,POINT (4.342681640067872 51.940993721509514),5
78810,83178.032,439687.239,3880,1,6,241,POINT (4.342682472000868 51.94099672219395),5
78811,83178.093,439687.597,4039,1,6,170,POINT (4.34268328416777 51.94099994742447),5
78812,83178.152,439687.939,4157,1,6,191,POINT (4.342684070597233 51.94100302860445),5
78813,83178.21,439688.263,4244,1,6,177,POINT (4.34268484624815 51.94100594788902),5
78814,83178.269,439688.6,4337,1,6,147,POINT (4.342685633722883 51.941008984133916),5
78815,83178.33,439688.954,4460,1,6,179,POINT (4.342686446726278 51.94101217341639),5
78816,83178.394,439689.318,4573,1,6,212,POINT (4.342687301262314 51.941015452956535),5
78817,83178.451,439689.64,4669,1,6,195,POINT (4.342688062790789 51.94101835413789),5
78818,83178.516,439690.004,4758,1,6,184,POINT (4.342688931867945 51.941021633807175),5
78819,83178.571,439690.329,4883,1,6,174,POINT (4.3426896636878185 51.9410245616912),5
78820,83178.632,439690.672,4984,1,6,200,POINT (4.342690478990902 51.94102765211649),5
78821,83178.688,439690.987,5058,1,6,144,POINT (4.342691227441977 51.941030490259536),5
78822,83178.752,439691.353,5182,1,6,197,POINT (4.3426920815606795 51.94103378777364),5
78827,83176.437,439676.308,107,3,6,87,POINT (4.342661564068453 51.94089827911302),6
78864,83178.189,439686.497,3845,1,6,215,POINT (4.342684910006091 51.94099007411195),5
78866,83178.244,439686.822,3981,1,6,198,POINT (4.342685641825201 51.94099300199601),5
78867,83178.308,439687.188,4079,1,6,199,POINT (4.342686495942801 51.940996299510154),5
78868,83178.369,439687.542,4211,1,6,195,POINT (4.342687308946033 51.94099948879264),5
78869,83178.43,439687.882,4297,1,6,183,POINT (4.342688124875547 51.94100255225691),5
78870,83178.491,439688.231,4399,1,6,186,POINT (4.342688938924064 51.94100569660428),5
78871,83178.551,439688.569,4495,1,6,139,POINT (4.3426897407309415 51.9410087419654),5
78872,83178.608,439688.895,4582,1,6,192,POINT (4.342690501423418 51.94101167909475),5
78873,83178.667,439689.23,4696,1,6,177,POINT (4.342691289316656 51.94101469736561),5
78874,83178.728,439689.58,4811,1,6,193,POINT (4.342692103156598 51.941017850699986),5
78875,83178.792,439689.943,4910,1,6,193,POINT (4.342692957902163 51.941021121253044),5
78876,83178.848,439690.265,5022,1,6,214,POINT (4.342693704890212 51.941024022305186),5
78877,83178.913,439690.632,5117,1,6,187,POINT (4.342694573340853 51.94102732893549),5
78878,83178.97,439690.955,5222,1,6,170,POINT (4.342695334660984 51.94103023910375),5
78879,83179.029,439691.291,5309,1,6,195,POINT (4.342696122345853 51.94103326636161),5
78880,83179.086,439691.612,5396,1,6,185,POINT (4.342696884084203 51.94103615855586),5
78882,83176.808,439676.61,294,1,6,245,POINT (4.342666895599572 51.940901041117804),6
78917,83178.493,439686.459,4055,1,6,280,POINT (4.34268933837477 51.94098977187629),5
78918,83178.55,439686.784,4154,1,6,209,POINT (4.342690099275919 51.94099270001864),5
78919,83178.612,439687.123,4226,1,6,217,POINT (4.342690929955394 51.9409957546251),5
78920,83178.668,439687.447,4334,1,6,174,POINT (4.342691676524877 51.940998673651265),5
78921,83178.733,439687.812,4432,1,6,193,POINT (4.342692545392915 51.94100196230754),5
78922,83178.794,439688.163,4540,1,6,202,POINT (4.342693359023708 51.94100512462893),5
78923,83178.852,439688.5,4658,1,6,176,POINT (4.342694131958123 51.94100816074462),5
78924,83178.916,439688.85,4739,1,6,137,POINT (4.342694989420798 51.941011314466515),5
78925,83178.974,439689.19,4864,1,6,165,POINT (4.342695761728395 51.94101437754323),5
78926,83179.032,439689.513,4939,1,6,172,POINT (4.342696537589272 51.9410172878407),5
78927,83179.091,439689.855,5053,1,6,201,POINT (4.342697324019941 51.941020369020585),5
78928,83179.152,439690.202,5164,1,6,193,POINT (4.342698138487438 51.94102349539387),5
78929,83179.216,439690.564,5261,1,6,195,POINT (4.342698993442558 51.94102675695989),5
78930,83179.272,439690.885,5370,1,6,193,POINT (4.342699740640097 51.94102964902498),5
78931,83179.337,439691.247,5463,1,6,172,POINT (4.3427006101363395 51.94103291072013),5
78932,83179.393,439691.57,5565,1,6,162,POINT (4.342701356916062 51.94103582075923),5
78933,83177.102,439676.525,421,1,6,256,POINT (4.342671188374812 51.940900315201354),6
78935,83177.166,439676.824,325,2,6,209,POINT (4.342672056493614 51.94090301058582),6
78966,83178.811,439685.626,1239,2,6,69,POINT (4.342694136479209 51.9409823267739),5
78967,83178.787,439686.391,4247,1,6,46,POINT (4.342693627604961 51.94098919873828),5
78968,83178.883,439685.967,1135,2,6,165,POINT (4.342695112149493 51.94098540064612),5
78969,83178.844,439686.708,4306,1,6,171,POINT (4.342694390178467 51.940992054984505),5
78970,83178.909,439687.069,4389,1,6,157,POINT (4.342695259882619 51.94099530769276),5
78971,83178.965,439687.39,4494,1,6,124,POINT (4.34269600707941 51.940998199757885),5
78972,83179.027,439687.729,4575,1,6,137,POINT (4.3426968377593855 51.94100125436426),5
78973,83179.084,439688.059,4689,1,6,174,POINT (4.342697597616162 51.94100422744166),5
78974,83179.148,439688.42,4778,1,6,174,POINT (4.342698452779897 51.94100748002064),5
78975,83179.21,439688.773,4892,1,6,170,POINT (4.342699280534068 51.9410106604452),5
78976,83179.269,439689.11,4998,1,6,174,POINT (4.34270006800986 51.94101369669002),5
78977,83179.331,439689.459,5087,1,6,179,POINT (4.3427008966002925 51.941016841166515),5
78978,83179.389,439689.792,5203,1,6,184,POINT (4.342701670371452 51.94101984133409),5
78979,83179.447,439690.115,5291,1,6,188,POINT (4.342702446232806 51.94102275163151),5
78980,83179.505,439690.451,5393,1,6,177,POINT (4.34270321937714 51.94102577876011),5
78981,83179.567,439690.806,5510,1,6,154,POINT (4.3427040467139575 51.94102897715864),5
78982,83179.632,439691.169,5603,1,6,195,POINT (4.34270491600149 51.9410322478408),5
78983,83179.688,439691.49,5711,1,6,200,POINT (4.3427056631995 51.94103513990584),5
78984,83177.437,439676.384,457,1,6,250,POINT (4.342676089029391 51.94089909130851),6
78985,83177.505,439676.725,426,1,6,269,POINT (4.3426770065332825 51.940902164664166),6
78986,83177.575,439677.078,393,1,6,248,POINT (4.34267795061083 51.940905346122356),6
79016,83179.094,439685.177,1132,1,6,188,POINT (4.342698345391787 51.94097832816291),5
79017,83179.154,439685.491,1136,1,6,142,POINT (4.34269915221506 51.940981157835616),5
79018,83179.213,439685.837,1303,1,6,196,POINT (4.342699937809254 51.9409842749636),5
79019,83179.18,439686.613,4498,1,6,300,POINT (4.342699295768878 51.940991244622495),5
79020,83179.277,439686.185,1335,2,6,12,POINT (4.342700795689912 51.94098741071143),5
79021,83179.245,439686.974,4566,1,6,179,POINT (4.342700165473372 51.940994497330685),5
79022,83179.302,439687.298,4674,1,6,179,POINT (4.342700926584316 51.940997416485985),5
79023,83179.367,439687.66,4748,1,6,168,POINT (4.342701796080034 51.941000678181176),5
79024,83179.423,439687.987,4866,1,6,129,POINT (4.342702542023277 51.9410036241683),5
79025,83179.484,439688.325,4954,1,6,191,POINT (4.3427033583719234 51.94100666965845),5
79026,83179.54,439688.647,5061,1,6,181,POINT (4.342704105360409 51.94100957071053),5
79027,83179.603,439689.011,5171,1,6,171,POINT (4.342704945356806 51.94101285012136),5
79028,83179.666,439689.358,5249,1,6,172,POINT (4.342705788906467 51.941015976752986),5
79029,83179.725,439689.7,5372,1,6,170,POINT (4.342706575337748 51.9410190579328),5
79030,83179.787,439690.046,5467,1,6,191,POINT (4.34270740455576 51.941022175448204),5
79031,83179.846,439690.386,5566,1,6,186,POINT (4.342708191405274 51.94102523865401),5
79032,83179.902,439690.709,5672,1,6,181,POINT (4.342708938185365 51.941028148693036),5
79033,83179.962,439691.045,5767,1,6,138,POINT (4.342709740412006 51.94103117607992),5
79034,83180.023,439691.394,5883,1,6,151,POINT (4.342710554462543 51.941034320427164),5
79035,83177.757,439676.318,480,1,6,245,POINT (4.342680755895053 51.94089853950369),6
79036,83177.819,439676.631,462,1,6,279,POINT (4.3426815920065245 51.94090136044791),6
79037,83177.884,439676.965,460,1,6,227,POINT (4.342682467351381 51.9409043705069),6
79038,83177.952,439677.279,310,1,6,227,POINT (4.3426833904991495 51.940907201213214),6
79068,83179.279,439684.421,1207,1,6,154,POINT (4.342701193464132 51.940971557879415),5
79069,83179.346,439684.751,1141,1,6,119,POINT (4.342702098729415 51.940974532248546),5
79070,83179.409,439685.088,1180,1,6,247,POINT (4.342702944368267 51.940977569010045),5
79071,83179.474,439685.425,1177,1,6,224,POINT (4.34270381908898 51.94098060602994),5
79072,83179.537,439685.753,1186,1,6,245,POINT (4.342704666609139 51.9409835619083),5
79073,83179.598,439686.064,1177,1,6,209,POINT (4.3427054886008 51.94098636474914),5
79074,83179.551,439686.874,4729,1,6,186,POINT (4.342704635882684 51.94099363815801),5
79075,83179.612,439687.226,4835,1,6,179,POINT (4.342705449305174 51.94099680946636),5
79076,83179.677,439687.588,4924,1,6,202,POINT (4.342706318801208 51.94100007116151),5
79077,83179.734,439687.913,5024,1,6,198,POINT (4.3427070797036365 51.94100299930377),5
79078,83179.799,439688.28,5125,1,6,188,POINT (4.34270794815487 51.941006305933975),5
79079,83179.855,439688.597,5219,1,6,139,POINT (4.342708696188685 51.94100916205094),5
79080,83179.914,439688.935,5320,1,6,184,POINT (4.3427094834560815 51.94101220728272),5
79081,83179.972,439689.257,5412,1,6,157,POINT (4.34271025952682 51.941015108593085),5
79082,83180.035,439689.625,5532,1,6,200,POINT (4.342711098687738 51.941018423951945),5
79083,83180.097,439689.972,5626,1,6,181,POINT (4.342711927697044 51.9410215504543),5
