,long,lat,elev,rt_num,class,intensity,geometry,cluster_label
27,83150.319,439657.499,1166,1,6,59,POINT (4.3422857190948205 51.94072586778001),0
49,83150.389,439656.063,1171,1,6,157,POINT (4.342287037204171 51.940712971476785),0
50,83150.454,439656.398,1172,1,6,102,POINT (4.342287912309887 51.94071599052576),0
51,83150.521,439656.742,1156,1,6,56,POINT (4.34228881461548 51.94071909071628),0
52,83150.584,439657.09,1221,1,6,125,POINT (4.342289657921686 51.940722226337904),0
73,83150.72,439656.286,1142,1,6,67,POINT (4.342291803576876 51.940715018355384),0
75,83150.785,439656.654,1252,2,6,108,POINT (4.3422926717829995 51.940718333975695),0
102,83150.996,439656.194,1286,2,6,82,POINT (4.342295836069771 51.940714227217384),0
969,83161.155,439658.142,890,1,6,113,POINT (4.342443148661723 51.94073304665695),1
992,83161.345,439657.746,1182,1,6,134,POINT (4.342445994199446 51.94072951234995),1
1013,83161.508,439657.261,1191,1,6,113,POINT (4.342448465741598 51.940725174710145),1
1014,83161.574,439657.588,1135,1,6,120,POINT (4.342449357071662 51.94072812199101),1
1016,83161.639,439657.937,1162,2,6,91,POINT (4.342450229261774 51.94073126685695),1
1017,83161.703,439658.356,1449,1,6,200,POINT (4.342451072277167 51.94073504068455),1
1037,83161.69,439656.494,1260,2,6,175,POINT (4.342451272512518 51.940718305187715),1
1038,83161.757,439656.8,1124,1,6,123,POINT (4.34245218277363 51.940721063870555),1
1039,83161.823,439657.153,1167,1,6,111,POINT (4.342453068668368 51.94072424481372),1
1040,83161.887,439657.485,1161,1,6,103,POINT (4.34245392987185 51.940727236771195),1
1041,83161.948,439657.806,1163,1,6,106,POINT (4.3424547497527035 51.940730129483946),1
1043,83162.013,439658.145,1174,2,6,66,POINT (4.342455624033801 51.940733184479726),1
1044,83162.079,439658.504,1240,1,6,202,POINT (4.342456508674675 51.940736419344994),1
1068,83161.973,439656.023,1173,1,6,96,POINT (4.342455486020999 51.94071410887102),1
1069,83162.034,439656.337,1149,1,6,96,POINT (4.342456307365115 51.94071693867463),1
1070,83162.104,439656.702,1157,1,6,102,POINT (4.3424572489145365 51.94072022797879),1
1071,83162.171,439657.052,1168,1,6,93,POINT (4.342458149977575 51.940723382090106),1
1072,83162.235,439657.383,1166,1,6,95,POINT (4.342459011390437 51.94072636506056),1
1073,83162.301,439657.731,1171,1,6,116,POINT (4.342459898331039 51.94072950106861),1
1074,83162.366,439658.064,1162,1,6,116,POINT (4.3424607738668115 51.94073250214232),1
1076,83162.495,439658.692,1017,1,6,78,POINT (4.342462518342024 51.94073816265394),1
1096,83162.365,439656.249,1169,1,6,86,POINT (4.342461138762344 51.9407161905855),1
1097,83162.43,439656.587,1173,1,6,80,POINT (4.342462013252666 51.940719236594234),1
1098,83162.492,439656.903,1154,1,6,98,POINT (4.342462848719964 51.94072208450106),1
1099,83162.561,439657.266,1164,1,6,102,POINT (4.342463776147292 51.94072535570192),1
1100,83162.628,439657.619,1185,1,6,74,POINT (4.342464676583724 51.94072853677424),1
1101,83162.694,439657.951,1161,1,6,119,POINT (4.342465566869643 51.94073152899007),1
1102,83162.759,439658.294,1159,1,6,88,POINT (4.342466440315287 51.940734619933814),1
1121,83162.62,439656.14,1150,1,6,130,POINT (4.342464869449831 51.94071524394914),1
1122,83162.689,439656.505,1165,1,6,134,POINT (4.342465796459058 51.94071853312405),1
1123,83162.751,439656.825,1170,1,6,75,POINT (4.342466631090362 51.94072141697886),1
1124,83162.816,439657.156,1151,1,6,108,POINT (4.3424675070445415 51.94072440007845),1
1125,83162.876,439657.474,1158,1,6,109,POINT (4.342468313012591 51.94072726570084),1
1126,83162.946,439657.835,1163,1,6,106,POINT (4.342469255399321 51.94073051905686),1
1127,83163.011,439658.202,1251,1,6,186,POINT (4.342470123827901 51.94073382568888),1
1129,83163.077,439658.515,1154,2,6,79,POINT (4.34247101808631 51.940736647151425),1
1130,83163.141,439658.905,1341,1,6,233,POINT (4.342471867166106 51.94074016035551),1
1146,83162.87,439656.011,1166,1,6,139,POINT (4.3424685316143155 51.940714116926365),1
1147,83162.94,439656.375,1165,1,6,78,POINT (4.34246947337363 51.94071739724339),1
1148,83163.001,439656.692,1164,1,6,92,POINT (4.342470294091525 51.94072025400797),1
1149,83163.069,439657.049,1159,1,6,101,POINT (4.342471208232894 51.940723471157504),1
1150,83163.131,439657.368,1158,1,6,132,POINT (4.3424720430736885 51.9407263460253),1
1151,83163.197,439657.707,1157,1,6,97,POINT (4.342472931896685 51.94072940115016),1
1152,83163.259,439658.031,1165,1,6,127,POINT (4.34247376569243 51.94073232095302),1
1153,83163.328,439658.397,1180,1,6,162,POINT (4.3424746924936 51.9407356191148),1
1156,83163.46,439659.054,1069,1,6,70,POINT (4.342476474530537 51.940741540637255),-1
1172,83163.183,439656.261,1163,1,6,91,POINT (4.3424730306168735 51.94071640412122),1
1173,83163.25,439656.608,1158,1,6,75,POINT (4.342473932308106 51.940719531271405),1
1174,83163.319,439656.971,1169,1,6,105,POINT (4.342474859736189 51.940722802472195),1
1175,83163.381,439657.29,1170,1,6,91,POINT (4.3424756945772085 51.94072567733995),1
1176,83163.45,439657.652,1164,1,6,86,POINT (4.342476622214597 51.940728939553715),1
1177,83163.512,439657.973,1176,1,6,212,POINT (4.3424774566377335 51.94073183239547),1
1178,83163.577,439658.294,1116,1,6,43,POINT (4.342478334683353 51.940734725624864),1
1199,83163.412,439656.191,1159,1,6,111,POINT (4.342476375090638 51.940715804618605),1
1200,83163.474,439656.511,1162,1,6,120,POINT (4.342477209722574 51.94071868847343),1
1201,83163.538,439656.845,1159,1,6,94,POINT (4.342478070509458 51.94072169840475),1
1202,83163.605,439657.191,1161,1,6,90,POINT (4.342478972410196 51.940724816567865),1
1203,83163.674,439657.556,1175,1,6,209,POINT (4.342479899420651 51.94072810574261),1
1204,83163.737,439657.867,1131,1,6,239,POINT (4.3424807504752945 51.94073090884347),1
1207,83163.866,439658.58,1279,2,6,34,POINT (4.342482477183578 51.940737333250866),1
1225,83163.613,439656.083,1165,1,6,115,POINT (4.342479320366286 51.94071485999167),1
1226,83163.68,439656.433,1167,1,6,72,POINT (4.342480221430769 51.94071801410281),1
1227,83163.743,439656.767,1174,1,6,76,POINT (4.342481067677055 51.94072102390494),1
1228,83163.806,439657.09,1173,1,6,239,POINT (4.342481916223021 51.94072393484994),1
1229,83163.872,439657.418,1111,1,6,135,POINT (4.342482807346208 51.9407268911176),1
1233,83164.068,439658.45,1153,1,6,55,POINT (4.342485441600431 51.94073619103872),1
1234,83164.137,439658.817,1179,1,6,213,POINT (4.3424863681934855 51.94073949818741),1
1250,83163.948,439656.283,1169,1,6,147,POINT (4.342484149719334 51.940716700678024),1
1251,83164.011,439656.62,1182,1,6,167,POINT (4.3424849953387055 51.94071973744114),1
1252,83164.08,439656.959,1124,1,6,222,POINT (4.342485927784819 51.94072279295353),1
1255,83164.203,439657.644,1288,2,6,37,POINT (4.342487573102215 51.94072896494932),1
1256,83164.27,439657.946,1131,1,6,56,POINT (4.342488484201972 51.94073168768379),1
1257,83164.335,439658.303,1189,1,6,184,POINT (4.342489354722493 51.940734904445556),1
1258,83164.405,439658.662,1173,1,6,198,POINT (4.342490297529005 51.94073813982735),1
1260,83164.467,439658.984,1174,2,6,174,POINT (4.34249113174414 51.94074104165605),1
1268,83164.601,439659.645,1059,5,6,20,POINT (4.34249294202885 51.94074699938468),-1
1278,83164.249,439656.13,1193,1,6,130,POINT (4.342488558480757 51.940715364555764),1
1280,83164.321,439656.48,1123,2,6,99,POINT (4.342489532249836 51.940718519312895),1
1282,83164.45,439657.179,1211,1,6,107,POINT (4.342491261885613 51.940724817902016),1
1283,83164.513,439657.572,1435,1,6,466,POINT (4.342492095798836 51.940728357937786),1
1284,83164.581,439657.856,1196,1,6,187,POINT (4.342493025202538 51.94073091903524),1
1285,83164.643,439658.173,1184,1,6,205,POINT (4.342493860462965 51.94073377592887),1
1286,83164.707,439658.505,1177,1,6,177,POINT (4.342494721669347 51.940736767886044),1
1287,83164.775,439658.856,1179,1,6,174,POINT (4.342495637067086 51.94073993111329),1
1291,83164.906,439659.536,1174,2,6,27,POINT (4.34249739975804 51.9407460592075),-1
1305,83164.634,439656.418,1469,3,6,20,POINT (4.34249409647725 51.940718002559024),1
1306,83164.703,439656.673,1143,1,6,56,POINT (4.342495046484062 51.940720303162344),1
1307,83164.771,439657.049,1215,1,6,266,POINT (4.342495956655278 51.940723691064896),1
1308,83164.838,439657.39,1183,1,6,186,POINT (4.342496859602544 51.9407267642928),1
1309,83164.904,439657.729,1175,1,6,209,POINT (4.342497748427235 51.94072981941747),1
1310,83164.97,439658.072,1179,1,6,214,POINT (4.342498636415854 51.940732910490205),1
1311,83165.034,439658.407,1176,1,6,235,POINT (4.342499496995392 51.94073592940843),1
1312,83165.096,439658.728,1186,1,6,214,POINT (4.342500331420131 51.94073882225003),1
1313,83165.16,439659.06,1173,1,6,166,POINT (4.342501192627039 51.940741814207186),1
1332,83164.94,439656.252,1188,1,6,104,POINT (4.342498580660069 51.94071655025129),1
1333,83165.002,439656.582,1231,1,6,205,POINT (4.3424994132029635 51.94071952397603),1
1334,83165.067,439656.909,1195,1,6,174,POINT (4.342500289995478 51.94072247112733),1
1335,83165.127,439657.227,1202,1,6,231,POINT (4.342501095965587 51.94072533674953),1
1336,83165.197,439657.586,1185,1,6,225,POINT (4.34250203877275 51.94072857213124),1
1337,83165.264,439657.929,1174,1,6,177,POINT (4.342502941302431 51.94073166333313),1
1338,83165.329,439658.265,1187,1,6,208,POINT (4.342503816213982 51.940734691367545),1
1339,83165.396,439658.613,1183,1,6,222,POINT (4.342504717698671 51.94073782750447),1
1340,83165.461,439658.955,1189,1,6,203,POINT (4.342505591356175 51.940740909460935),1
1343,83165.522,439659.273,1196,3,6,66,POINT (4.342506411867742 51.94074377521228),1
1358,83165.273,439656.144,1212,1,6,202,POINT (4.342503445319082 51.94071562267859),1
1359,83165.336,439656.458,1197,1,6,172,POINT (4.3425042957478235 51.94071845274029),1
1360,83165.405,439656.817,1189,1,6,177,POINT (4.342505224014287 51.940721687992784),1
1361,83165.466,439657.134,1192,1,6,205,POINT (4.3425060447345345 51.94072454475711),1
1362,83165.532,439657.471,1184,1,6,179,POINT (4.342506933977904 51.9407275819077),1
1363,83165.593,439657.791,1182,1,6,165,POINT (4.3425077540712245 51.94073046563307),1
1364,83165.663,439658.155,1178,1,6,193,POINT (4.34250869583374 51.94073374594979),1
1365,83165.73,439658.502,1183,1,6,193,POINT (4.342509597527797 51.94073687309968),1
1366,83165.795,439658.836,1184,1,6,207,POINT (4.342510472857988 51.94073988316001),1
1368,83165.86,439659.181,1185,2,6,101,POINT (4.342511345888789 51.94074299207743),1
1371,83165.925,439659.515,1196,3,6,47,POINT (4.3425122212192155 51.94074600213775),1
1384,83165.585,439656.015,1182,1,6,200,POINT (4.342508009011362 51.940714503665156),1
1385,83165.656,439656.378,1178,1,6,188,POINT (4.342508965523404 51.94071777512406),1
1386,83165.723,439656.728,1184,1,6,199,POINT (4.342509866590029 51.940720929234985),1
1387,83165.787,439657.062,1191,1,6,224,POINT (4.342510727379147 51.94072393916613),1
1388,83165.853,439657.407,1189,1,6,185,POINT (4.342511614950453 51.94072704821276),1
1389,83165.918,439657.742,1186,1,6,205,POINT (4.342512490071547 51.94073006726008),1
1390,83165.981,439658.064,1181,1,6,200,POINT (4.342513338828764 51.940732969217855),1
1391,83166.044,439658.399,1190,1,6,188,POINT (4.3425141848685005 51.94073598800676),1
1392,83166.112,439658.747,1190,1,6,195,POINT (4.3425151008947305 51.94073912427283),1
1393,83166.182,439659.101,1163,1,6,111,POINT (4.34251604474841 51.940742314719365),1
1397,83166.242,439659.43,1212,4,6,70,POINT (4.342516848420382 51.940745279198566),1
1410,83165.909,439656.293,1182,1,6,130,POINT (4.3425126621113606 51.94071704391607),1
1411,83165.971,439656.614,1181,1,6,165,POINT (4.342513496536606 51.94071993675762),1
1412,83166.041,439656.976,1180,1,6,186,POINT (4.342514438717417 51.94072319910027),1
1413,83166.108,439657.322,1183,1,6,219,POINT (4.342515340620712 51.94072631726313),1
1414,83166.172,439657.66,1182,1,6,209,POINT (4.342516200574117 51.94072936314221),1
1415,83166.239,439658.006,1185,1,6,184,POINT (4.3425171024776565 51.94073248130506),1
1416,83166.304,439658.343,1191,1,6,158,POINT (4.342517977181132 51.94073551832638),1
1417,83166.366,439658.653,1148,1,6,85,POINT (4.342518813906544 51.940738312310714),1
1419,83166.429,439659.007,1239,2,6,166,POINT (4.3425196559749075 51.94074150185283),1
1435,83166.093,439656.225,1182,1,6,212,POINT (4.34251535183117 51.940716456572325),1
1436,83166.155,439656.546,1181,1,6,186,POINT (4.342516186256579 51.94071934941379),1
1437,83166.22,439656.885,1182,1,6,234,POINT (4.342517060541653 51.94072240440914),1
1438,83166.282,439657.206,1180,1,6,177,POINT (4.342517894967278 51.940725297250665),1
1439,83166.351,439657.566,1177,1,6,185,POINT (4.3425188230258165 51.940728541490046),1
1440,83166.418,439657.912,1183,1,6,248,POINT (4.342519724929521 51.94073165965286),1
1441,83166.482,439658.242,1173,1,6,162,POINT (4.342520586555676 51.94073463363588),1
1443,83166.548,439658.599,1221,2,6,123,POINT (4.342521471619347 51.940737850526595),1
1461,83166.314,439656.125,1176,1,6,129,POINT (4.342518586249417 51.940715586424474),1
1462,83166.375,439656.45,1183,1,6,219,POINT (4.342519405298054 51.94071851508482),1
1463,83166.446,439656.814,1186,1,6,214,POINT (4.342520361601965 51.94072179553067),1
1464,83166.506,439657.131,1181,1,6,191,POINT (4.342521167782389 51.940724652165706),1
1465,83166.571,439657.468,1194,1,6,253,POINT (4.342522042485993 51.94072768918698),1
1466,83166.632,439657.78,1179,1,6,154,POINT (4.342522864252636 51.94073050101614),1
1468,83166.701,439658.153,1220,2,6,149,POINT (4.342523789594075 51.940733862086624),1
1490,83166.564,439656.01,1175,1,6,162,POINT (4.342522245485987 51.94071458521822),1
1491,83166.63,439656.357,1191,1,6,193,POINT (4.342523132639826 51.94071771223882),1
1492,83166.701,439656.723,1189,1,6,216,POINT (4.342524088525906 51.940721010658635),1
1493,83166.763,439657.042,1182,1,6,224,POINT (4.342524923370045 51.94072388552605),1
1494,83166.832,439657.398,1159,1,6,97,POINT (4.3425258522652355 51.94072709381737),1
1523,83166.898,439656.248,1184,1,6,159,POINT (4.342527052356373 51.94071676728006),1
1524,83166.962,439656.582,1183,1,6,188,POINT (4.342527913146566 51.940719777211065),1
1525,83167.03,439656.919,1151,1,6,67,POINT (4.342528831472898 51.9407228146199),1
1545,83167.163,439656.148,1183,1,6,190,POINT (4.342530926569021 51.940715902816706),1
1546,83167.228,439656.48,1153,1,6,75,POINT (4.342531802318327 51.94071889490288),1
1572,83167.501,439656.015,1216,2,6,110,POINT (4.342535869157255 51.940714751213335),1
1990,83173.405,439662.438,1244,2,6,201,POINT (4.342620375399192 51.94077323755487),2
1991,83173.477,439662.773,1111,1,6,72,POINT (4.342621352314126 51.94077625750571),2
2015,83173.63,439662.06,1193,1,6,77,POINT (4.342623726091287 51.94076986953139),2
2016,83173.691,439662.382,1218,1,6,165,POINT (4.3426245457748225 51.94077277122998),2
2038,83173.799,439661.272,1233,2,6,134,POINT (4.342626348197324 51.94076280959806),2
2039,83173.867,439661.606,1169,1,6,53,POINT (4.342627267158251 51.94076582004509),2
2040,83173.935,439661.975,1222,1,6,271,POINT (4.342628178803505 51.940769145037564),2
2041,83173.995,439662.292,1222,1,6,202,POINT (4.34262898499162 51.94077200167184),2
2043,83174.065,439662.647,1189,2,6,58,POINT (4.342629928645049 51.94077520110451),2
2050,83173.388,439657.37,774,1,6,173,POINT (4.3426211875392555 51.940727689177855),2
2063,83174.101,439661.191,1210,1,6,135,POINT (4.342630756450306 51.94076212066463),2
2064,83174.161,439661.512,1228,1,6,224,POINT (4.342631561802377 51.94076501324694),2
2065,83174.227,439661.847,1215,1,6,174,POINT (4.342632451473065 51.94076803242256),2
2066,83174.295,439662.198,1219,1,6,209,POINT (4.342633366881137 51.94077119564876),2
2067,83174.363,439662.555,1217,1,6,206,POINT (4.342634281035207 51.940774412797026),2
2070,83173.599,439656.612,881,1,6,296,POINT (4.3426244140855985 51.94072090428084),2
2071,83173.663,439656.939,854,1,6,550,POINT (4.34262527634556 51.94072385130208),2
2072,83173.726,439657.257,836,1,6,466,POINT (4.342626125946046 51.94072671731096),2
2074,83173.79,439657.58,787,1,6,134,POINT (4.342626989042318 51.940729628384084),2
2076,83173.859,439657.915,742,1,6,132,POINT (4.342627922334394 51.940732647947335),2
2082,83174.305,439660.419,1383,1,6,269,POINT (4.342633884138419 51.94075520904485),2
2083,83174.376,439660.738,1224,1,6,224,POINT (4.342634849857417 51.94075808507421),2
2084,83174.44,439661.072,1223,1,6,195,POINT (4.342635710655611 51.940761095004426),2
2085,83174.506,439661.421,1231,1,6,229,POINT (4.342636597400212 51.94076423999822),2
2086,83174.572,439661.755,1215,1,6,244,POINT (4.342637487280244 51.94076725018676),2
2087,83174.633,439662.073,1226,1,6,222,POINT (4.342638307800705 51.940770115937205),2
2088,83174.698,439662.404,1210,1,6,214,POINT (4.342639183767224 51.9407730990355),2
2089,83174.763,439662.745,1217,1,6,162,POINT (4.342640057643655 51.940776172003964),2
2091,83173.846,439656.171,918,1,6,235,POINT (4.342628097839188 51.94071697291753),2
2092,83173.914,439656.516,910,1,6,543,POINT (4.34262901450007 51.940720082221695),2
2093,83173.979,439656.843,869,1,6,579,POINT (4.342629891301106 51.94072302937207),2
2095,83174.047,439657.181,830,1,6,173,POINT (4.342630809425384 51.94072607576711),2
2098,83174.174,439657.823,761,1,6,106,POINT (4.342632521913917 51.94073186183611),2
2104,83174.56,439659.967,1264,1,6,203,POINT (4.342637686519629 51.94075117985762),2
2105,83174.625,439660.295,1227,1,6,209,POINT (4.342638563112805 51.940754135994936),2
2106,83174.687,439660.615,1223,1,6,157,POINT (4.34263939775586 51.94075701984856),2
2107,83174.757,439660.976,1224,1,6,214,POINT (4.342640340155604 51.94076027320322),2
2108,83174.822,439661.322,1227,1,6,198,POINT (4.34264121298677 51.94076339110673),2
2109,83174.887,439661.658,1241,1,6,200,POINT (4.342642087908253 51.94076641914013),2
2110,83174.954,439662.002,1225,1,6,186,POINT (4.342642990239306 51.94076951932798),2
2111,83175.018,439662.333,1217,1,6,223,POINT (4.3426438516653185 51.940772502297065),2
2112,83175.079,439662.65,1221,1,6,237,POINT (4.3426446723952985 51.94077535906042),2
2113,83173.943,439656.046,3922,1,6,108,POINT (4.342629534423295 51.94071586207208),2
2115,83174.188,439656.421,927,1,6,349,POINT (4.342633018533048 51.940719263852706),2
2116,83174.255,439656.759,889,1,6,433,POINT (4.342633922116677 51.94072231011858),2
2117,83174.327,439657.122,864,1,6,300,POINT (4.34263489317885 51.94072558170565),2
2119,83174.388,439657.428,811,1,6,145,POINT (4.34263571620665 51.94072833961198),2
2121,83174.459,439657.788,788,1,6,215,POINT (4.3426366733553525 51.94073158410885),2
2123,83174.521,439658.1,765,1,6,417,POINT (4.342637509670042 51.94073439606638),2
2124,83174.587,439658.43,738,1,6,613,POINT (4.342638400385641 51.94073737030691),2
2127,83174.643,439658.812,1047,3,6,25,POINT (4.342639134824355 51.94074081058024),2
2128,83174.705,439659.242,1406,1,6,295,POINT (4.342639946474991 51.94074468300532),2
2129,83174.775,439659.554,1228,1,6,191,POINT (4.342640899116501 51.94074749599631),2
2130,83174.84,439659.889,1222,1,6,188,POINT (4.3426417742466805 51.94075051504269),2
2131,83174.906,439660.235,1228,1,6,209,POINT (4.342642661618561 51.94075363307538),2
2132,83174.971,439660.57,1228,1,6,198,POINT (4.342643536748977 51.94075665212174),2
2133,83175.033,439660.888,1217,1,6,207,POINT (4.342644371810434 51.940759518001315),2
2134,83175.097,439661.222,1221,1,6,230,POINT (4.342645232609294 51.940762527931454),2
2135,83175.158,439661.62,1506,1,6,117,POINT (4.3426460364086426 51.940766112642876),2
2136,83175.232,439661.936,1274,1,6,113,POINT (4.342647046378117 51.94076896209864),2
2137,83175.295,439662.248,1217,1,6,245,POINT (4.342647897234941 51.940771774185286),2
2138,83175.364,439662.617,1259,1,6,165,POINT (4.342648823422646 51.9407750993068),2
2139,83174.156,439655.969,4003,1,6,181,POINT (4.342632647705523 51.94071519758891),2
2141,83174.341,439656.031,958,1,6,602,POINT (4.342635324791744 51.940715778683256),2
2142,83174.406,439656.357,918,1,6,153,POINT (4.342636201802133 51.94071871684658),2
2143,83174.469,439656.674,896,1,6,653,POINT (4.342637051612244 51.94072157386839),2
2144,83174.534,439657.004,873,1,6,259,POINT (4.342637927786775 51.94072454797975),2
2145,83174.6,439657.342,845,1,6,409,POINT (4.342638816830051 51.94072759411636),2
2149,83174.733,439658.011,776,1,6,731,POINT (4.342640610920888 51.94073362360969),2
2151,83174.793,439658.477,1312,2,6,99,POINT (4.3426413859652255 51.94073781930883),2
2152,83174.854,439658.826,1432,1,6,274,POINT (4.342642200005801 51.94074096365666),2
2153,83174.922,439659.121,1223,1,6,265,POINT (4.342643127119112 51.940743623610054),2
2154,83174.983,439659.438,1215,1,6,202,POINT (4.342643947848531 51.94074648037345),2
2155,83175.053,439659.798,1222,1,6,232,POINT (4.342644890457406 51.94074972474106),2
2156,83175.12,439660.141,1221,1,6,177,POINT (4.342645792997344 51.940752815941885),2
2157,83175.184,439660.474,1213,1,6,193,POINT (4.342646654005193 51.94075581688498),2
2158,83175.251,439660.82,1215,1,6,205,POINT (4.342647555918315 51.94075893504685),2
2159,83175.316,439661.162,1220,1,6,240,POINT (4.342648429586032 51.94076201700226),2
2160,83175.372,439661.538,1522,1,6,86,POINT (4.342649165280016 51.940765403353424),2
2161,83175.441,439661.826,1277,1,6,80,POINT (4.342650108398166 51.94076800052686),2
2162,83175.509,439662.16,1215,1,6,259,POINT (4.3426510273607875 51.940771010973705),2
2163,83175.578,439662.518,1220,1,6,193,POINT (4.342651955847909 51.94077423723805),2
2164,83174.475,439656.228,3946,1,6,120,POINT (4.342637232080131 51.94071756643577),2
2165,83174.593,439655.982,1057,1,6,292,POINT (4.342638999311997 51.94071537087455),2
2166,83174.66,439656.296,930,1,6,110,POINT (4.342639907912433 51.94071820145205),2
2167,83174.727,439656.638,914,1,6,117,POINT (4.34264081066043 51.940721283665916),2
2168,83174.792,439656.971,906,1,6,515,POINT (4.342641686208145 51.94072428473829),2
2169,83174.854,439657.275,846,1,6,171,POINT (4.342642524195171 51.94072702479971),2
2170,83174.914,439657.673,1152,1,6,5,POINT (4.342643313452895 51.940730609381944),2
2171,83174.919,439657.609,833,2,6,679,POINT (4.342643399534091 51.94073003485905),2
2173,83174.978,439658.04,1260,2,6,100,POINT (4.34264416735351 51.940733915883534),2
2174,83175.049,439658.391,1190,1,6,43,POINT (4.3426451263841095 51.94073707949721),2
2175,83175.112,439658.719,1218,1,6,218,POINT (4.342645973895919 51.940740035376116),2
2176,83175.18,439659.079,1218,1,6,172,POINT (4.342646887423219 51.94074327948533),2
2177,83175.243,439659.399,1208,1,6,207,POINT (4.342647736607407 51.94074616346807),2
2178,83175.307,439659.732,1211,1,6,177,POINT (4.342648597615263 51.94074916441125),2
2179,83175.367,439660.05,1230,1,6,185,POINT (4.34264940359531 51.94075203003241),2
2180,83175.437,439660.408,1220,1,6,213,POINT (4.342650346622731 51.94075525642594),2
2181,83175.505,439660.757,1220,1,6,205,POINT (4.342651262449845 51.94075840167797),2
2182,83175.568,439661.092,1225,1,6,214,POINT (4.342652108499327 51.94076142046588),2
2183,83174.742,439656.193,3999,1,6,206,POINT (4.342641121786047 51.940717286383006),2
2186,83174.927,439656.25,952,1,6,709,POINT (4.342643799917598 51.94071782254205),2
2187,83174.993,439656.594,939,1,6,420,POINT (4.342644687707026 51.940720922600704),2
2188,83175.059,439656.919,879,1,6,100,POINT (4.342645579467936 51.94072385190615),2
2190,83175.125,439657.279,946,2,6,175,POINT (4.342646463913304 51.94072709575698),2
2191,83175.185,439657.671,1227,1,6,74,POINT (4.342647254425457 51.940730626417164),2
2192,83175.248,439657.981,1167,1,6,59,POINT (4.3426481056996185 51.94073342052978),2
2193,83175.311,439658.324,1218,1,6,157,POINT (4.342648950076283 51.94073651121382),2
2194,83175.378,439658.67,1218,1,6,208,POINT (4.342649851989187 51.940739629375685),2
2195,83175.448,439659.031,1215,1,6,227,POINT (4.342650794389333 51.940742882730255),2
2196,83175.509,439659.348,1213,1,6,217,POINT (4.342651615119225 51.94074573949359),2
2197,83175.579,439659.712,1214,1,6,222,POINT (4.34265255689257 51.940749019809154),2
2198,83174.996,439656.17,4063,1,6,137,POINT (4.342644819953451 51.940717112494795),2
2199,83175.06,439656.462,3936,1,6,110,POINT (4.3426456895303405 51.94071974497045),2
2200,83175.174,439656.206,1044,1,6,258,POINT (4.3426474006889135 51.94071745902227),2
2201,83175.238,439656.51,951,1,6,333,POINT (4.342648267757739 51.940720199341996),2
2203,83175.306,439656.891,1042,2,6,100,POINT (4.342649176895429 51.94072363217846),2
2204,83175.37,439657.269,1200,1,6,69,POINT (4.34265002849715 51.940727037537165),2
2205,83175.435,439657.606,1209,1,6,74,POINT (4.3426509032095195 51.94073007455751),2
2206,83175.501,439657.954,1224,1,6,204,POINT (4.342651790163606 51.94073321056419),2
2207,83175.566,439658.288,1220,1,6,195,POINT (4.342652665503264 51.94073622062348),2
2208,83175.21,439656.112,4150,1,6,142,POINT (4.342647943804984 51.94071661889369),2
2209,83175.275,439656.408,4014,1,6,178,POINT (4.342648827086761 51.94071928744652),2
2210,83175.348,439656.726,3819,1,6,37,POINT (4.342649822096558 51.940722154747114),2
2214,83175.519,439656.849,1205,1,6,82,POINT (4.3426522828623 51.94072328224026),2
2215,83175.581,439657.159,1175,1,6,22,POINT (4.342653119595851 51.94072607622369),2
2216,83175.482,439656.018,4275,1,6,127,POINT (4.342651918546722 51.94071580925272),2
2217,83175.551,439656.33,4124,1,6,135,POINT (4.342652856647595 51.94071862211448),2
2218,83175.629,439661.508,1579,1,6,77,POINT (4.342652908536886 51.94076516694347),2
2219,83175.701,439661.777,1226,1,6,219,POINT (4.342653899248992 51.94076759375121),2
2220,83175.762,439662.095,1230,1,6,213,POINT (4.342654719770505 51.940770459501515),2
2221,83175.826,439662.426,1222,1,6,226,POINT (4.342655581197317 51.940773442470544),2
2222,83175.893,439662.759,1177,2,6,31,POINT (4.342656485828625 51.94077644380117),2
2223,83175.641,439660.031,1219,1,6,188,POINT (4.342653391745447 51.94075189467571),2
2224,83175.705,439660.368,1226,1,6,188,POINT (4.342654251917717 51.94075493156682),2
2225,83175.766,439660.687,1227,1,6,209,POINT (4.342655072230014 51.94075780630417),2
2226,83175.836,439661.047,1223,1,6,214,POINT (4.342656014839925 51.94076105067169),2
2227,83175.903,439661.393,1225,1,6,257,POINT (4.342656916753798 51.94076416883346),2
2228,83175.967,439661.726,1220,1,6,214,POINT (4.342657777762605 51.9407671697765),2
2229,83176.033,439662.065,1204,1,6,105,POINT (4.342658666599034 51.94077022489998),2
2231,83176.157,439662.743,1317,3,6,41,POINT (4.342660327945798 51.94077633411345),2
2232,83175.627,439658.608,1223,1,6,217,POINT (4.342653485606106 51.94073910434784),2
2233,83175.692,439658.94,1210,1,6,221,POINT (4.342654361364027 51.94074209643307),2
2234,83175.759,439659.291,1215,1,6,181,POINT (4.34265526223233 51.940745259529926),2
2235,83175.828,439659.65,1214,1,6,186,POINT (4.342656190510217 51.94074849478125),2
2236,83175.89,439659.969,1217,1,6,231,POINT (4.342657025363319 51.94075136964775),2
2237,83175.96,439660.331,1220,1,6,212,POINT (4.3426579675552075 51.940754631989286),2
2238,83176.021,439660.65,1228,1,6,200,POINT (4.342658787867735 51.94075750672657),2
